"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/01/2000","14","","Portland - SE Lafayette","41-051-0080","AQS"
"07/02/2000","26","","Portland - SE Lafayette","41-051-0080","AQS"
"07/03/2000","29","","Portland - SE Lafayette","41-051-0080","AQS"
"07/04/2000","185","","Portland - SE Lafayette","41-051-0080","AQS"
"07/05/2000","155","","Portland - SE Lafayette","41-051-0080","AQS"
"07/06/2000","38","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/07/2000","43","","Portland - SE Lafayette","41-051-0080","AQS"
"07/08/2000","52","","Portland - SE Lafayette","41-051-0080","AQS"
"07/09/2000","19","","Portland - SE Lafayette","41-051-0080","AQS"
"07/10/2000","39","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/11/2000","39","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/12/2000","50","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/13/2000","37","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/14/2000","25","","Portland - SE Lafayette","41-051-0080","AQS"
"07/15/2000","33","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/16/2000","41","","Portland - SE Lafayette","41-051-0080","AQS"
"07/17/2000","58","","Portland - SE Lafayette","41-051-0080","AQS"
"07/18/2000","42","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/19/2000","38","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/20/2000","56","","Portland - SE Lafayette","41-051-0080","AQS"
"07/21/2000","53","","Portland - SE Lafayette","41-051-0080","AQS"
"07/22/2000","14","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"07/23/2000","31","","Portland - SE Lafayette","41-051-0080","AQS"
"07/24/2000","49","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"07/25/2000","29","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/26/2000","27","","MULTORPOR-Ski Bowl, Mt. Hood Wilderness","41-005-0102","AQS"
"07/27/2000","20","","Portland - SE Lafayette","41-051-0080","AQS"
"07/28/2000","41","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"07/29/2000","52","","MULTORPOR-Ski Bowl, Mt. Hood Wilderness","41-005-0102","AQS"
"07/30/2000","51","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"07/31/2000","39","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/01/2000","43","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/02/2000","49","","MULTORPOR-Ski Bowl, Mt. Hood Wilderness","41-005-0102","AQS"
"08/03/2000","57","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/04/2000","61","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/05/2000","51","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/06/2000","48","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/07/2000","41","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/08/2000","57","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/09/2000","49","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/10/2000","41","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/11/2000","32","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/12/2000","36","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/13/2000","36","","Portland - SE Lafayette","41-051-0080","AQS"
"08/14/2000","35","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/15/2000","38","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/16/2000","42","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/17/2000","36","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/18/2000","34","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"08/19/2000","31","","Portland - SE Lafayette","41-051-0080","AQS"
"08/20/2000","36","","Portland - SE Lafayette","41-051-0080","AQS"
"08/21/2000","43","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/22/2000","47","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/23/2000","57","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/24/2000","52","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/25/2000","31","","Portland - SE Lafayette","41-051-0080","AQS"
"08/26/2000","24","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"08/27/2000","27","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"08/28/2000","34","","Portland - SE Lafayette","41-051-0080","AQS"
"08/29/2000","37","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/30/2000","36","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"08/31/2000","32","","Portland - SE Lafayette","41-051-0080","AQS"
"09/01/2000","33","","Portland - SE Lafayette","41-051-0080","AQS"
"09/02/2000","27","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/03/2000","34","","Beaverton - Highland Park","41-067-0111","AQS"
"09/04/2000","41","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/05/2000","36","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/06/2000","27","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/07/2000","56","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/08/2000","22","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/09/2000","32","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/10/2000","27","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"09/11/2000","36","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"09/12/2000","59","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/13/2000","60","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/14/2000","55","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/15/2000","34","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"09/16/2000","33","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/17/2000","43","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/18/2000","40","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/19/2000","43","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/20/2000","45","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/21/2000","34","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/22/2000","28","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/23/2000","34","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/24/2000","52","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/25/2000","58","","Portland - SE Lafayette","41-051-0080","AQS"
"09/26/2000","62","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"09/27/2000","64","","Portland - SE Lafayette","41-051-0080","AQS"
"09/28/2000","54","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"09/29/2000","48","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"09/30/2000","24","","Portland - SE Lafayette","41-051-0080","AQS"
"10/01/2000","19","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"10/02/2000","38","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"10/03/2000","56","","Portland - SE Lafayette","41-051-0080","AQS"
"10/04/2000","55","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"10/05/2000","53","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"10/06/2000","53","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"10/07/2000","68","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"10/08/2000","64","","Portland - SE Lafayette","41-051-0080","AQS"
"10/09/2000","64","","Portland - SE Lafayette","41-051-0080","AQS"
"10/10/2000","59","","Portland - SE Lafayette","41-051-0080","AQS"
"10/11/2000","73","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"10/12/2000","79","","Portland - SE Lafayette","41-051-0080","AQS"
"10/13/2000","44","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"10/14/2000","63","","Portland - SE Lafayette","41-051-0080","AQS"
"10/15/2000","93","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"10/16/2000","58","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"10/17/2000","55","","Portland - SE Lafayette","41-051-0080","AQS"
"10/18/2000","47","","Portland - SE Lafayette","41-051-0080","AQS"
"10/19/2000","84","","Portland - SE Lafayette","41-051-0080","AQS"
"10/20/2000","35","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"10/21/2000","64","","Portland - SE Lafayette","41-051-0080","AQS"
"10/22/2000","60","","Portland - SE Lafayette","41-051-0080","AQS"
"10/23/2000","47","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"10/24/2000","76","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"10/25/2000","66","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"10/26/2000","85","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"10/27/2000","82","","Portland - SE Lafayette","41-051-0080","AQS"
"10/28/2000","27","","Portland - SE Lafayette","41-051-0080","AQS"
"10/29/2000","42","","Portland - SE Lafayette","41-051-0080","AQS"
"10/30/2000","80","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"10/31/2000","89","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"11/01/2000","88","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"11/02/2000","61","","Portland - SE Lafayette","41-051-0080","AQS"
"11/03/2000","77","","Portland - SE Lafayette","41-051-0080","AQS"
"11/04/2000","50","","Portland - SE Lafayette","41-051-0080","AQS"
"11/05/2000","62","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"11/06/2000","67","","Portland - SE Lafayette","41-051-0080","AQS"
"11/07/2000","93","","Portland - SE Lafayette","41-051-0080","AQS"
"11/08/2000","56","","Portland - SE Lafayette","41-051-0080","AQS"
"11/09/2000","51","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/10/2000","62","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"11/11/2000","119","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"11/12/2000","122","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/13/2000","60","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"11/14/2000","87","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"11/15/2000","94","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/16/2000","94","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/17/2000","134","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"11/18/2000","88","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/19/2000","77","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/20/2000","113","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"11/21/2000","71","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/22/2000","82","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"11/23/2000","117","","Beaverton - Highland Park","41-067-0111","AQS"
"11/24/2000","70","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"11/25/2000","57","","Portland - SE Lafayette","41-051-0080","AQS"
"11/26/2000","51","","Portland - SE Lafayette","41-051-0080","AQS"
"11/27/2000","66","","Portland - SE Lafayette","41-051-0080","AQS"
"11/28/2000","44","","Portland - SE Lafayette","41-051-0080","AQS"
"11/29/2000","55","","Portland - SE Lafayette","41-051-0080","AQS"
"11/30/2000","58","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/01/2000","55","","Portland - SE Lafayette","41-051-0080","AQS"
"12/02/2000","69","","Beaverton - Highland Park","41-067-0111","AQS"
"12/03/2000","54","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/04/2000","53","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/05/2000","110","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"12/06/2000","51","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/07/2000","54","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/08/2000","106","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"12/09/2000","89","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/10/2000","87","","Portland - SE Lafayette","41-051-0080","AQS"
"12/11/2000","59","","Portland - SE Lafayette","41-051-0080","AQS"
"12/12/2000","50","","Portland - SE Lafayette","41-051-0080","AQS"
"12/13/2000","58","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/14/2000","62","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/15/2000","54","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/16/2000","28","","Portland - SE Lafayette","41-051-0080","AQS"
"12/17/2000","74","","Portland - SE Lafayette","41-051-0080","AQS"
"12/18/2000","57","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/19/2000","96","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/20/2000","69","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"12/21/2000","52","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/22/2000","46","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/23/2000","59","","Portland - SE Lafayette","41-051-0080","AQS"
"12/24/2000","59","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/25/2000","35","","Portland - SE Lafayette","41-051-0080","AQS"
"12/26/2000","73","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"12/27/2000","72","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/28/2000","52","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/29/2000","77","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"12/30/2000","29","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/31/2000","54","","Portland - SE Lafayette","41-051-0080","AQS"
